fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,symbol
2018-06-30,USD,318000000,4000000,None,43000000,22000000,546000000,704000000,63000000,36000000,1509000000,-706000000,-870000000,-244000000,4807000000,-446000000,None,557000000,557000000,None,None,5186000000,None,19000000,None,556000000,None,1509000000,UNP
2018-03-31,USD,1956000000,245000000,None,-154000000,249000000,543000000,910000000,78000000,-59000000,1310000000,-919000000,-2098000000,640000000,1166000000,1166000000,None,568000000,568000000,None,None,1706000000,None,-1166000000,None,-227000000,None,1310000000,UNP
2017-12-31,USD,-3135000000,149000000,None,86000000,5000000,532000000,859000000,65000000,-7000000,2251000000,-826000000,-1578000000,0,1131000000,1131000000,None,522000000,522000000,None,None,450000000,None,-1131000000,None,-572000000,None,7278000000,UNP
2017-09-30,USD,1748000000,4000000,None,66000000,31000000,528000000,790000000,71000000,-16000000,1194000000,-696000000,11000000,0,1271000000,1271000000,None,480000000,480000000,None,None,1099000000,None,11000000,None,561000000,None,1194000000,UNP
2017-06-30,USD,1717000000,3000000,None,-269000000,26000000,525000000,778000000,78000000,34000000,1168000000,-721000000,8000000,0,852000000,852000000,None,488000000,488000000,None,None,986000000,None,8000000,None,237000000,None,1168000000,UNP
2017-03-31,USD,3647000000,225000000,None,248000000,196000000,520000000,811000000,21000000,-43000000,1072000000,-843000000,-1268000000,0,759000000,759000000,None,492000000,492000000,None,None,200000000,None,-759000000,None,-228000000,None,1072000000,UNP
2016-12-31,USD,1965000000,119000000,None,33000000,-103000000,520000000,901000000,-93000000,-27000000,1965000000,-574000000,-2116000000,0,1005000000,1005000000,None,497000000,497000000,None,None,100000000,None,-1005000000,None,-632000000,None,1144000000,UNP
2021-09-30,USD,1119000000,86000000,None,339000000,763000000,308000000,208000000,292000000,245000000,1273000000,-104000000,-1318000000,0,650000000,650000000,None,646000000,646000000,None,None,2482000000,None,-593000000,None,1273000000,None,1257000000,HON
2021-06-30,USD,1278000000,110000000,None,448000000,415000000,284000000,185000000,270000000,113000000,1447000000,61000000,-1660000000,1000000,1027000000,1027000000,None,664000000,664000000,None,None,4000000,None,-980000000,None,1447000000,None,1430000000,HON
2021-03-31,USD,978000000,119000000,None,-302000000,81000000,341000000,221000000,-143000000,158000000,1448000000,-1304000000,-2217000000,2000000,822000000,822000000,None,640000000,640000000,None,None,23000000,None,-755000000,None,-2543000000,None,1427000000,HON
2020-12-31,USD,2782000000,958000000,None,863000000,-375000000,255000000,291000000,-54000000,-217000000,1379000000,-577000000,-2053000000,9000000,1565000000,1565000000,None,671000000,671000000,None,None,20000000,None,-1335000000,None,2924000000,None,1359000000,HON
2020-09-30,USD,1007000000,241000000,None,97000000,-376000000,255000000,249000000,161000000,-47000000,781000000,-52000000,-769000000,-6000000,164000000,164000000,None,636000000,636000000,None,None,3004000000,None,-98000000,None,781000000,None,758000000,HON
2020-06-30,USD,1480000000,93000000,None,71000000,-507000000,250000000,227000000,-735000000,168000000,1099000000,-708000000,5187000000,-11000000,62000000,62000000,None,650000000,650000000,None,None,5974000000,None,-31000000,None,1099000000,None,1081000000,HON
2020-03-31,USD,939000000,102000000,None,-461000000,-44000000,243000000,139000000,-41000000,163000000,1606000000,350000000,-2446000000,82000000,1923000000,1923000000,None,635000000,635000000,None,None,1127000000,None,-1857000000,None,-1157000000,None,1581000000,HON
2019-12-31,USD,2614000000,787000000,None,785000000,97000000,269000000,335000000,-89000000,-176000000,1590000000,-411000000,-4109000000,1000000,750000000,750000000,None,644000000,644000000,None,None,1000000,None,-677000000,None,3168000000,None,1562000000,HON
2019-09-30,USD,1471000000,73000000,None,-53000000,8000000,15000000,192000000,176000000,3000000,1648000000,221000000,1072000000,0,1000000000,1000000000,None,595000000,595000000,None,None,2696000000,None,-953000000,None,1561000000,None,1624000000,HON
2019-06-30,USD,1678000000,63000000,None,108000000,174000000,295000000,171000000,100000000,52000000,1556000000,266000000,-2328000000,0,1900000000,1900000000,None,597000000,597000000,None,None,9000000,None,-1667000000,None,1556000000,None,1541000000,HON
2019-03-31,USD,1134000000,74000000,None,-277000000,240000000,261000000,141000000,-198000000,221000000,1436000000,-609000000,-1235000000,-1000000,750000000,750000000,None,606000000,606000000,None,None,20000000,None,-605000000,None,-662000000,48000000,1416000000,HON
2018-12-31,USD,1559000000,635000000,None,753000000,549000000,254000000,306000000,367000000,44000000,1740000000,-406000000,-1630000000,-351000000,1692000000,1692000000,None,603000000,603000000,None,None,1000000,None,-1667000000,None,-516000000,-39000000,1721000000,HON
2018-09-30,USD,1878000000,91000000,None,278000000,54000000,286000000,183000000,-34000000,270000000,2356000000,-172000000,84000000,-450000000,604000000,604000000,None,553000000,553000000,None,None,21000000,None,-489000000,None,1721000000,-69000000,2338000000,HON
2018-06-30,USD,1861000000,95000000,None,-39000000,-349000000,288000000,199000000,-158000000,26000000,1280000000,611000000,-2038000000,-750000000,764000000,764000000,None,560000000,560000000,None,None,2000000,None,-697000000,None,185000000,-249000000,1267000000,HON
2018-03-31,USD,1136000000,115000000,None,-185000000,267000000,288000000,140000000,61000000,163000000,1452000000,994000000,-1448000000,1347000000,940000000,940000000,None,556000000,556000000,None,None,3000000,None,-880000000,None,838000000,156000000,1439000000,HON
2017-12-31,USD,2172000000,607000000,None,830000000,714000000,283000000,418000000,274000000,-141000000,-2507000000,-1383000000,-1129000000,-31000000,1554000000,1554000000,None,565000000,565000000,None,None,1199000000,None,-1497000000,None,-330000000,10000000,-2519000000,HON
2017-09-30,USD,1407000000,100000000,None,80000000,218000000,285000000,212000000,132000000,102000000,1362000000,-1199000000,-804000000,-1000000,343000000,343000000,None,505000000,505000000,None,None,23000000,None,-256000000,None,-488000000,108000000,1345000000,HON
2017-06-30,USD,1447000000,40000000,None,212000000,289000000,276000000,233000000,299000000,12000000,1400000000,-388000000,-965000000,200000000,682000000,682000000,None,546000000,546000000,None,None,5000000,None,-527000000,None,167000000,73000000,1391000000,HON
2017-03-31,USD,940000000,54000000,None,-176000000,288000000,271000000,168000000,-23000000,286000000,1332000000,-604000000,-618000000,1000000,310000000,310000000,None,503000000,503000000,None,None,11000000,None,-89000000,None,-133000000,149000000,1328000000,HON
2016-12-31,USD,2042000000,642000000,None,502000000,-54000000,257000000,346000000,200000000,-215000000,1048000000,-66000000,-362000000,-2039000000,213000000,213000000,None,505000000,505000000,None,None,4735000000,None,-190000000,None,1412000000,-202000000,1034000000,HON
2021-07-31,CAD,26908000000,None,None,None,None,656000000,614000000,None,None,None,-24696000000,-1603000000,None,None,None,None,1616000000,1616000000,None,None,None,None,-2264000000,None,None,None,4292000000,RY
2021-04-30,USD,-6555000000,None,None,None,None,637000000,496000000,None,None,None,-25065000000,-1718000000,None,None,None,None,1597000000,1597000000,None,None,None,None,-1181000000,None,None,None,4014000000,RY
2021-01-31,USD,30813000000,None,None,None,None,634000000,429000000,None,None,None,1345000000,-866000000,None,None,None,None,1613000000,1613000000,None,None,None,None,-826000000,None,None,None,3845000000,RY
2020-10-31,USD,-1858000000,None,None,None,None,710000000,586000000,None,None,None,4871000000,-3243000000,None,None,None,None,1603000000,1603000000,None,None,None,None,-2182000000,None,None,None,3247000000,RY
2020-07-31,USD,28772000000,None,None,None,None,652000000,540000000,None,None,None,-6721000000,-1306000000,None,None,None,None,1602000000,1602000000,None,None,None,None,-920000000,None,None,None,3197000000,RY
2020-04-30,USD,91961000000,None,None,None,None,642000000,758000000,None,None,None,-25582000000,-3034000000,None,None,None,None,1561000000,1561000000,None,None,None,None,-1725000000,None,None,None,1484000000,RY
2020-01-31,USD,19944000000,None,None,None,None,644000000,745000000,0,0,None,-12125000000,-163000000,None,None,None,None,1567000000,1567000000,None,None,None,None,-2348000000,None,0,0,3504000000,RY
2019-10-31,USD,11077000000,None,None,None,None,576000000,642000000,0,0,None,-11126000000,-3121000000,None,None,None,None,1530000000,1530000000,None,None,None,None,-2008000000,None,0,0,3201000000,RY
2019-07-31,USD,3135000000,None,None,None,None,458000000,483000000,0,0,None,-2537000000,-3449000000,None,None,None,None,1531000000,1531000000,None,None,None,None,-1212000000,None,0,0,3263000000,RY
2019-04-30,USD,-11174000000,None,None,None,None,457000000,575000000,0,0,None,2885000000,-4004000000,None,None,None,None,1481000000,1481000000,None,None,None,None,-2094000000,None,0,0,3226000000,RY
2019-01-31,USD,11227000000,None,None,None,None,443000000,561000000,0,0,None,-256706827.19,3117000000,None,None,None,None,1483000000,1483000000,None,None,None,None,-2230000000,None,0,0,3170000000,RY
2018-10-31,USD,-6072000000,None,None,None,None,430000000,585000000,0,0.02,None,4399087799.32,-1560000000,None,None,None,None,1426000000,1426000000,None,None,None,None,-1628000000,None,0,0,3247000000,RY
2018-07-31,USD,15513000000,None,None,None,None,419000000,521000000,0,1.38,None,-10259091258.55,-2961000000,None,None,None,None,1427000000,1427000000,None,None,None,None,-1500000000,None,0,0,3101000000,RY
2018-04-30,USD,-6541000000,None,None,None,None,407000000,517000000,None,0,None,4280373831.78,-799000000,None,None,None,None,1391000000,1391000000,None,None,None,None,-1723000000,None,None,None,3051000000,RY
2018-01-31,USD,14574000000,None,None,None,None,396000000,357000000,None,969549330.09,None,-4837190418.19,-2400000000,None,None,None,None,1396000000,1396000000,None,None,None,None,-2502000000,None,None,None,3001000000,RY
2017-10-31,USD,6310000000,None,None,None,None,408000000,465000000,None,18333074654.66,None,-11995964612.76,-2276000000,None,None,None,None,1345000000,1345000000,None,None,None,None,-2009000000,None,None,None,2829000000,RY
2017-07-31,USD,10381000000,None,None,None,None,398000000,228000000,None,18074364933.09,None,-11996954884.21,-1339000000,None,None,None,None,1348000000,1348000000,None,None,None,None,-1014000000,None,None,None,2783000000,RY
2017-04-30,USD,13658000000,None,None,None,None,397000000,414000000,None,13810393977.05,None,-3578685768.58,-3746000000,None,None,None,None,1307000000,1307000000,None,None,None,None,-3611000000,None,None,None,2801000000,RY
2017-01-31,USD,7376000000,None,None,None,None,414000000,257000000,None,6963161934,None,3407521105.14,-1290000000,None,None,None,None,1309000000,1309000000,None,None,None,None,-1267000000,None,None,None,3015000000,RY
2016-10-31,USD,10693000000,None,None,None,None,410000000,395000000,None,5090976882.92,None,-15977628635.35,-1257000000,None,None,None,None,1287000000,1287000000,None,None,None,None,-1132000000,None,None,None,2533000000,RY
2016-07-31,USD,227000000,None,None,None,None,382000000,305000000,None,501409738.63,None,0,-1565000000,None,None,None,None,1280000000,1280000000,None,None,None,None,-1850000000,None,None,None,2886000000,RY
2021-09-30,USD,3477000000,3150000000,None,-2022000000,1031000000,4145000000,3351000000,984000000,-41000000,1379000000,-4152000000,-3060000000,0,0,0,None,None,None,None,0,1989000000,None,0,None,-3735000000,None,691000000,TMUS
2021-06-30,USD,3779000000,2176000000,None,-1015000000,1977000000,4077000000,3278000000,2407000000,-584000000,2233000000,-2083000000,-577000000,0,0,0,None,None,None,None,0,3006000000,None,0,None,1119000000,None,978000000,TMUS
2021-03-31,USD,3661000000,2706000000,None,-1650000000,295000000,4289000000,12105000000,631000000,-279000000,933000000,-11239000000,3874000000,0,0,0,None,None,None,None,0,6763000000,None,0,None,-3704000000,None,933000000,TMUS
2020-12-31,USD,3474000000,470000000,None,532000000,2772000000,4219000000,4313000000,1832000000,609000000,2462000000,-3647000000,3979000000,0,0,0,None,None,None,None,0,8643000000,None,0,None,2462000000,None,750000000,TMUS
2020-09-30,USD,2772000000,2308000000,None,-1015000000,2401000000,4150000000,3217000000,1844000000,549000000,2913000000,-1132000000,-6144000000,0,2546000000,2546000000,None,None,None,None,2550000000,0,None,4000000,None,-4504000000,None,1253000000,TMUS
2020-06-30,USD,777000000,1897000000,None,-3451000000,1028000000,4064000000,3002000000,371000000,553000000,110000000,-6356000000,15628000000,-186000000,16990000000,16990000000,None,None,None,None,17290000000,26694000000,None,300000000,None,10049000000,None,110000000,TMUS
2020-03-31,USD,1617000000,1236000000,None,-352000000,1180000000,1718000000,1852000000,679000000,511000000,951000000,-1580000000,-453000000,-25000000,0,0,None,None,None,None,0,0,None,0,None,-416000000,None,951000000,TMUS
2019-12-31,USD,1537000000,926000000,None,374000000,1895000000,1776000000,1261000000,1553000000,478000000,1234000000,-887000000,-775000000,-475000000,0,0,None,None,None,None,0,0,None,0,None,1234000000,None,751000000,TMUS
2019-09-30,USD,1748000000,1050000000,None,-353000000,977000000,1655000000,1527000000,823000000,36000000,870000000,-657000000,-543000000,275000000,0,0,None,None,None,None,0,0,None,0,None,548000000,None,870000000,TMUS
2019-06-30,USD,2147000000,245000000,None,16000000,876000000,1585000000,2454000000,955000000,-162000000,939000000,-1615000000,-866000000,0,0,0,None,None,None,None,0,0,None,0,None,-334000000,None,939000000,TMUS
2019-03-31,USD,1392000000,340000000,None,104000000,1738000000,1600000000,2116000000,1393000000,265000000,908000000,-966000000,-190000000,0,0,0,None,None,None,None,None,0,None,0,None,236000000,None,908000000,TMUS
2018-12-31,USD,954000000,222000000,None,458000000,2240000000,1640000000,1210000000,2125000000,244000000,1137000000,231000000,-311000000,161000000,0,0,None,0,None,None,None,0,None,0,None,874000000,None,640000000,TMUS
2018-09-30,USD,914000000,366000000,None,-216000000,1881000000,1637000000,1384000000,1573000000,115000000,795000000,-42000000,-758000000,1564000000,0,0,None,0,None,None,None,0,None,0,None,114000000,None,795000000,TMUS
2018-06-30,USD,1261000000,661000000,None,-177000000,1545000000,1634000000,1657000000,1422000000,-125000000,782000000,-306000000,-3267000000,2070000000,405000000,405000000,None,0,None,None,None,0,None,-405000000,None,-2312000000,None,782000000,TMUS
2018-03-31,USD,770000000,421000000,None,-979000000,930000000,1575000000,1417000000,1095000000,-33000000,671000000,-462000000,1000000000,445000000,666000000,666000000,None,0,None,None,None,2494000000,None,-666000000,None,1308000000,None,671000000,TMUS
2017-12-31,USD,865000000,488000000,None,1552000000,1713000000,1485000000,929000000,652000000,816000000,1112000000,267000000,-652000000,-4000000,427000000,427000000,None,14000000,14000000,None,None,0,None,0,None,480000000,None,2707000000,TMUS
2017-09-30,USD,1252000000,372000000,None,69000000,344000000,1416000000,1456000000,273000000,-113000000,550000000,-345000000,-349000000,1051000000,0,0,None,13000000,13000000,None,None,500000000,None,0,None,558000000,None,550000000,TMUS
2017-06-30,USD,1106000000,761000000,None,-113000000,652000000,1519000000,7138000000,332000000,185000000,581000000,-6251000000,-2175000000,1563000000,0,0,None,14000000,14000000,None,None,4485000000,None,0,None,-7320000000,None,581000000,TMUS
2017-03-31,USD,608000000,543000000,None,-586000000,48000000,1564000000,1542000000,81000000,-44000000,698000000,-416000000,1809000000,296000000,0,0,None,14000000,14000000,None,None,5495000000,None,0,None,2001000000,None,698000000,TMUS
2016-12-31,USD,-1754000000,531000000,None,223000000,1069000000,1548000000,1283000000,600000000,305000000,942000000,2062000000,-160000000,0,0,0,None,14000000,14000000,None,None,0,None,0,None,148000000,None,390000000,TMUS
2021-09-30,USD,3870000000,73000000,None,376000000,-741000000,18000000,152000000,-273000000,-468000000,2588000000,-1890000000,-2053000000,90000000,None,None,None,1876000000,1876000000,None,None,0,None,-94000000,None,2588000000,None,2426000000,PM
2021-06-30,USD,3630000000,236000000,None,-317000000,-262000000,19000000,128000000,200000000,-462000000,2298000000,-183000000,-2474000000,-59000000,None,None,None,1873000000,1873000000,None,None,0,None,None,None,2298000000,None,2172000000,PM
2021-03-31,USD,435000000,114000000,None,-158000000,122000000,18000000,179000000,427000000,-305000000,2595000000,55000000,-3649000000,-49000000,0,0,None,1879000000,1879000000,None,0,0,None,0,None,-3159000000,None,2418000000,PM
2020-12-31,USD,3162000000,1054000000,None,349000000,821000000,926000000,140000000,-167000000,988000000,2119000000,-586000000,-465000000,89000000,0,0,None,1879000000,1879000000,None,0,1483000000,None,0,None,4872000000,None,1976000000,PM
2020-09-30,USD,3614000000,52000000,None,194000000,-1040000000,18000000,152000000,-197000000,-843000000,2437000000,-434000000,-2528000000,-129000000,0,0,None,1827000000,1827000000,None,0,0,None,0,None,2437000000,None,2307000000,PM
2020-06-30,USD,1925000000,54000000,None,-278000000,-101000000,19000000,140000000,454000000,-555000000,2049000000,-648000000,-954000000,-1152000000,0,0,None,1830000000,1830000000,None,0,0,None,0,None,2049000000,None,1947000000,PM
2020-03-31,USD,1111000000,71000000,None,-119000000,459000000,18000000,170000000,-116000000,575000000,1987000000,514000000,-4549000000,1122000000,0,0,None,1828000000,1828000000,None,0,0,None,0,None,-2924000000,None,1826000000,PM
2019-12-31,USD,3324000000,3431000000,None,563000000,309000000,914000000,156000000,-175000000,484000000,1782000000,-184000000,-2959000000,-24000000,0,0,None,1825000000,1825000000,None,0,0,None,0,None,4935000000,None,1616000000,PM
2019-09-30,USD,2083000000,13000000,None,165000000,183000000,15000000,194000000,-267000000,450000000,2046000000,122000000,453000000,89000000,0,0,None,1779000000,1779000000,None,0,2191000000,None,0,None,2033000000,None,1896000000,PM
2019-06-30,USD,3442000000,5000000,None,56000000,628000000,16000000,178000000,777000000,-149000000,2436000000,-153000000,-2404000000,-1251000000,0,0,None,1777000000,1777000000,None,0,0,None,0,None,2431000000,None,2319000000,PM
2019-03-31,USD,1241000000,17000000,None,-258000000,-241000000,19000000,324000000,-4000000,-237000000,1464000000,-1596000000,-3151000000,822000000,0,0,None,1780000000,1780000000,None,0,0,None,0,None,-3506000000,None,1354000000,PM
2018-12-31,USD,2422000000,3683000000,None,462000000,523000000,926000000,334000000,59000000,464000000,2003000000,166000000,-1747000000,180000000,0,0,None,1775000000,1775000000,None,0,0,None,0,None,4718000000,None,1910000000,PM
2018-09-30,USD,1683000000,17000000,None,-160000000,-554000000,20000000,328000000,-177000000,-377000000,2341000000,-481000000,-1889000000,-44000000,0,0,None,1778000000,1778000000,None,0,0,None,0,None,2341000000,None,2247000000,PM
2018-06-30,USD,3993000000,16000000,None,-111000000,816000000,21000000,409000000,-48000000,864000000,2295000000,335000000,-4277000000,16000000,0,0,None,1673000000,1673000000,None,0,0,None,0,None,2295000000,None,2198000000,PM
2018-03-31,USD,1380000000,25000000,None,-377000000,-225000000,22000000,365000000,113000000,-338000000,1647000000,-1018000000,-1738000000,103000000,0,0,None,1659000000,1659000000,None,0,0,None,0,None,-1376000000,None,1556000000,PM
2017-12-31,USD,2921000000,4467000000,None,1968000000,487000000,810000000,553000000,-26000000,513000000,796000000,-761000000,-1537000000,-2407000000,0,0,None,1666000000,1666000000,None,0,3129000000,None,0,None,780000000,118000000,694000000,PM
2017-09-30,USD,1920000000,23000000,None,151000000,525000000,21000000,435000000,104000000,421000000,2045000000,-1078000000,359000000,2014000000,0,0,None,1618000000,1618000000,None,0,1239000000,None,0,None,1470000000,244000000,1970000000,PM
2017-06-30,USD,3228000000,11000000,None,102000000,97000000,22000000,268000000,518000000,-421000000,1842000000,-701000000,-1932000000,-108000000,0,0,None,1618000000,1618000000,None,0,0,None,0,None,1121000000,485000000,1781000000,PM
2017-03-31,USD,843000000,18000000,None,-426000000,-1747000000,22000000,292000000,-504000000,-1243000000,1658000000,-543000000,341000000,374000000,0,0,None,1618000000,1618000000,None,0,2482000000,None,0,None,837000000,232000000,1590000000,PM
2016-12-31,USD,2149000000,3997000000,None,243000000,2551000000,687000000,438000000,611000000,1940000000,1775000000,109000000,-1853000000,43000000,0,0,None,1619000000,1619000000,None,0,0,None,0,None,-645000000,-916000000,1711000000,PM
2021-09-30,USD,1774000000,27000000,None,62000000,171000000,38000000,37000000,263000000,None,1753000000,-144000000,-629000000,None,309000000,309000000,None,629000000,629000000,None,None,0,None,-309000000,None,1753000000,None,1681000000,BLK
2021-06-30,USD,1826000000,41000000,None,192000000,572000000,37000000,130000000,-47000000,None,1547000000,-285000000,-1475000000,None,305000000,305000000,None,630000000,630000000,None,None,0,None,-305000000,None,1547000000,None,1378000000,BLK
2021-03-31,USD,-573000000,40000000,None,853000000,960000000,34000000,48000000,311000000,None,1273000000,-1150000000,-591000000,0,568000000,568000000,None,661000000,661000000,None,0,0,None,-568000000,None,-2314000000,None,1199000000,BLK
2020-12-31,USD,1979000000,223000000,None,-555000000,-1042000000,27000000,54000000,-231000000,None,1740000000,-77000000,138000000,0,17000000,17000000,None,554000000,554000000,None,0,0,None,-17000000,None,2040000000,None,1548000000,BLK
2020-09-30,USD,995000000,-52000000,None,161000000,672000000,27000000,40000000,664000000,None,1517000000,-19000000,0,0,10000000,10000000,None,556000000,556000000,None,0,0,None,-10000000,None,1517000000,None,1364000000,BLK
2020-06-30,USD,1707000000,99000000,None,-976000000,-959000000,27000000,48000000,-125000000,None,1402000000,-124000000,-522000000,0,1125000000,1125000000,None,554000000,554000000,None,0,1246000000,None,-1125000000,None,1402000000,None,1214000000,BLK
2020-03-31,USD,-938000000,67000000,None,1265000000,1542000000,25000000,52000000,5000000,None,627000000,-34000000,628000000,0,657000000,657000000,None,596000000,596000000,None,0,999000000,None,-657000000,None,-344000000,None,806000000,BLK
2019-12-31,USD,1256000000,109000000,None,-442000000,-431000000,29000000,94000000,103000000,None,1334000000,93000000,-1214000000,0,7000000,7000000,None,512000000,512000000,None,0,0,None,-7000000,None,1334000000,None,1301000000,BLK
2019-09-30,USD,931000000,74000000,None,-65000000,248000000,28000000,55000000,199000000,None,1119000000,-444000000,139000000,0,109000000,109000000,None,513000000,513000000,None,0,0,None,-109000000,None,1119000000,None,1119000000,BLK
2019-06-30,USD,922000000,149000000,None,51000000,310000000,25000000,47000000,32000000,None,1013000000,-1545000000,604000000,0,7000000,7000000,None,515000000,515000000,None,0,0,None,-7000000,None,1013000000,None,1003000000,BLK
2019-03-31,USD,-225000000,56000000,None,103000000,186000000,15000000,58000000,99000000,None,1060000000,-118000000,-2112000000,0,1788000000,1788000000,None,556000000,556000000,None,0,0,None,-1788000000,None,-2455000000,None,1053000000,BLK
2018-12-31,USD,523000000,54000000,None,-280000000,216000000,15000000,96000000,-9000000,None,927000000,-108000000,-472000000,0,532000000,532000000,None,497000000,497000000,None,0,0,None,-532000000,None,927000000,None,927000000,BLK
2018-09-30,USD,1265000000,29000000,None,284000000,-29000000,13000000,45000000,83000000,161000000,1203000000,-558000000,-820000000,0,515000000,515000000,None,502000000,502000000,None,0,0,None,-515000000,None,1203000000,None,1216000000,BLK
2018-06-30,USD,1428000000,65000000,None,-397000000,-396000000,11000000,30000000,-43000000,36000000,1078000000,-89000000,-599000000,0,321000000,321000000,None,464000000,464000000,None,0,0,None,-321000000,None,1078000000,None,1073000000,BLK
2018-03-31,USD,-141000000,29000000,None,716000000,460000000,11000000,33000000,-35000000,None,1094000000,-53000000,-874000000,0,719000000,719000000,None,505000000,505000000,None,0,0,None,-719000000,None,467000000,None,1089000000,BLK
2017-12-31,USD,1410000000,59000000,None,-188000000,-156000000,16000000,55000000,-255000000,None,2301000000,-97000000,-547000000,0,288000000,288000000,None,403000000,403000000,None,0,0,None,-288000000,None,729000000,31000000,2295000000,BLK
2017-09-30,USD,1360000000,28000000,None,-144000000,50000000,31000000,45000000,173000000,None,956000000,-129000000,-620000000,0,287000000,287000000,None,405000000,405000000,None,0,0,None,-287000000,None,657000000,59000000,944000000,BLK
2017-06-30,USD,526000000,82000000,None,-106000000,-97000000,29000000,36000000,-266000000,None,864000000,-333000000,-1283000000,0,284000000,284000000,None,407000000,407000000,None,0,0,None,-284000000,None,-195000000,70000000,854000000,BLK
2017-03-31,USD,313000000,40000000,None,965000000,1158000000,30000000,19000000,869000000,None,868000000,-49000000,-180000000,0,562000000,562000000,None,447000000,447000000,None,0,697000000,None,-562000000,None,-388000000,32000000,859000000,BLK
2016-12-31,USD,-988000000,56000000,None,-328000000,-63000000,31000000,31000000,-250000000,None,851000000,-128000000,-505000000,0,281000000,281000000,None,374000000,374000000,None,0,0,None,-281000000,None,637000000,-105000000,851000000,BLK
2021-08-01,USD,1686000000,None,None,None,None,11000000,137000000,-447000000,64000000,1716000000,-194000000,-1731000000,None,1500000000,0,None,219000000,219000000,None,0,None,None,0,None,1716000000,None,1716000000,AMAT
2021-05-02,USD,1187000000,387000000,4000000,243000000,553000000,13000000,204000000,330000000,128000000,1330000000,-219000000,-883000000,0,750000000,750000000,None,202000000,202000000,None,86000000,None,None,0,None,1330000000,None,1330000000,AMAT
2021-01-31,USD,1421000000,164000000,19000000,-78000000,-20000000,13000000,121000000,81000000,21000000,1130000000,-216000000,-343000000,0,0,0,None,201000000,201000000,None,0,None,None,0,None,862000000,None,1130000000,AMAT
2020-10-25,USD,1315000000,110000000,63000000,153000000,144000000,336000000,162000000,156000000,-48000000,2130000000,-141000000,-173000000,None,50000000,50000000,None,200000000,200000000,None,83000000,None,None,33000000,None,2130000000,None,1131000000,AMAT
2020-07-26,USD,867000000,296000000,0,177000000,348000000,14000000,87000000,179000000,217000000,841000000,8000000,-1806000000,None,200000000,200000000,None,202000000,202000000,None,0,None,None,-200000000,None,841000000,None,841000000,AMAT
2020-04-26,USD,635000000,296000000,4000000,-65000000,224000000,12000000,71000000,-54000000,254000000,755000000,165000000,1172000000,None,199000000,199000000,None,193000000,193000000,None,76000000,None,None,-123000000,None,755000000,None,755000000,AMAT
2020-01-26,USD,987000000,129000000,1000000,106000000,213000000,14000000,102000000,146000000,-2000000,892000000,-162000000,-530000000,None,200000000,200000000,None,192000000,192000000,None,15000000,None,None,-185000000,None,295000000,None,892000000,AMAT
2019-10-27,USD,826000000,145000000,2000000,65000000,95000000,320000000,97000000,160000000,-66000000,1634000000,-86000000,-625000000,None,500000000,500000000,None,194000000,194000000,None,72000000,None,None,-428000000,None,1634000000,None,698000000,AMAT
2019-07-28,USD,787000000,254000000,2000000,115000000,45000000,15000000,93000000,107000000,-138000000,571000000,-162000000,-727000000,None,528000000,528000000,None,196000000,196000000,None,0,None,None,-528000000,None,571000000,None,571000000,AMAT
2019-04-28,USD,800000000,274000000,10000000,-145000000,-130000000,14000000,118000000,-181000000,-26000000,666000000,-129000000,-747000000,None,625000000,625000000,None,189000000,189000000,None,73000000,None,None,-552000000,None,666000000,None,666000000,AMAT
2019-01-27,USD,834000000,68000000,8000000,-105000000,-14000000,14000000,133000000,121000000,-18000000,771000000,-66000000,-1016000000,None,750000000,750000000,None,192000000,192000000,None,0,None,None,-750000000,None,-248000000,None,771000000,AMAT
2018-10-28,USD,1077000000,95000000,12000000,87000000,-163000000,308000000,165000000,-317000000,155000000,1780000000,-129000000,-882000000,None,751000000,751000000,None,195000000,195000000,None,68000000,None,None,-683000000,None,66000000,None,757000000,AMAT
2018-07-29,USD,633000000,97000000,10000000,-281000000,342000000,50000000,133000000,217000000,319000000,1173000000,-674000000,-1455000000,None,1250000000,1250000000,None,199000000,199000000,None,0,None,None,-1250000000,None,-1496000000,None,1016000000,AMAT
2018-04-29,USD,611000000,215000000,1000000,217000000,918000000,49000000,121000000,482000000,329000000,1129000000,22000000,-2562000000,None,2500000000,2500000000,None,105000000,105000000,None,0,None,None,-2444000000,None,-1929000000,None,1100000000,AMAT
2018-01-28,USD,1466000000,112000000,40000000,1067000000,-80000000,50000000,203000000,-156000000,211000000,135000000,1352000000,-1029000000,None,782000000,782000000,None,106000000,106000000,None,None,None,None,-782000000,None,1789000000,None,165000000,AMAT
